"upc","descrip","price","q","sales","volsales","unit","marca","importada","artesanal"
7199036400,"COORS LIGHT BEER N.R",0.60483843,12739.7636098862,7477.38974237442,4522616.19335938,"Oz","COORS",0,0
7199038006,"COORS RED LIGHT LNNR",0.6652211,155.948140144348,103.739994049072,55361.591796875,"Oz","COORS",0,0
7199038011,"COORS RED LIGHT NR B",0.66605473,23.9920215606689,15.9799995422363,8517.16796875,"Oz","COORS",0,0
7199047006,"KEYSTONE REGULAR BEE",0.35003322,135243.027051926,46727.4389152527,48011275.8554688,"Oz","KEYSTONE",0,0
7199047506,"KEYSTONE DRY BEER",0.35023871,6549.82192420959,2271.76994514465,2325186.85546875,"Oz","KEYSTONE",0,0
7199048006,"KEYSTONE LIGHT BEER",0.35069188,187233.739034653,64834.0486717224,66467978.921875,"Oz","KEYSTONE",0,0
7199066200,"HERMAN JOSEPHS SPECI",0.83194321,5.99800539016724,4.98999977111816,2129.2919921875,"Oz","HERMAN",0,0
7199070002,"KILLIAN'S IRISH RED",0.83000481,562654.90924263,445468.19000864,199742494.356445,"Oz","KILLIAN'S",0,1
7199070012,"KILLIAN'S IRISH RED",0.95780683,1997.33580136299,1897.38998293877,709054.215209961,"Oz","KILLIAN'S",0,1
7199070015,"KILLIAN'S IRISH RED",0.93906218,165.944816946983,153.370000243187,58910.4104614258,"Oz","KILLIAN'S",0,1
7199076400,"KILLIAN'S RED NR 12O",0.83109409,37043.6819019318,29797.9697303772,13150507.3554688,"Oz","KILLIAN'S",0,1
7199076502,"KILLIAN'S IRISH BRWN",0.81886375,803.732730388641,651.849987983704,285325.126953125,"Oz","KILLIAN'S",0,1
7199076601,"KILLIAN'S WILDE HONE",0.82504833,19277.5895957947,15500.6395998001,6843544.47558594,"Oz","KILLIAN'S",0,1
7199077005,"COORS CUTTER NON-ALC",0.6035468,261279.118198395,150245.66490984,92754088.6494141,"Oz","COORS",0,0
7199080003,"CASTLEMAINE XXXX",0.99866527,509.830460548401,509.149980545044,180989.819335938,"Oz","CASTLEMAINE",1,0
7199084001,"COORS ARTIC ICE NR B",0.64847422,1841.38769674301,1109.41998052597,653692.642578125,"Oz","COORS",0,0
7199084004,"COORS ARTIC ICE CANS",0.6400044,107.96409702301,69.2099990844727,38327.255859375,"Oz","COORS",0,0
7199084009,"COORS ARTIC ICE CANS",0.53265512,575.808519363403,305.759996414185,204412.03125,"Oz","COORS",0,0
7199090002,"COORS EXTRA GOLD BEE",0.4617666,101174.356100082,45915.0492048263,35916897.3476562,"Oz","COORS",0,0
7199090014,"COORS EXTRA GOLD BEE",0.63116497,12193.9450759888,7671.25004911423,4328850.62109375,"Oz","COORS",0,0
7199091200,"COORS EXTRA GOLD BEE",0.61385059,13069.6538157463,8007.25968122482,4639727.25097656,"Oz","COORS",0,0
